binary answers
3-1 -> 2
3-2 -> 1
4-2 -> 2
5-1 -> 4
5-4 -> 1
6-2 -> 4
6-4 -> 2
8-4 -> 4
9-1 -> 8
9-8 -> 1
10-2 -> 8
10-8 -> 2
12-4 -> 8
12-8 -> 4
16-8 -> 8
17-1 -> 16
17-16 -> 1
18-2 -> 16
18-16 -> 2
20-4 -> 16
20-16 -> 4
24-8 -> 16
24-16 -> 8
32-16 -> 16
33-1 -> 32
33-32 -> 1
34-2 -> 32
34-32 -> 2
36-4 -> 32
36-32 -> 4
40-8 -> 32
40-32 -> 8
48-16 -> 32
48-32 -> 16
64-32 -> 32
65-1 -> 64
65-64 -> 1
66-2 -> 64
66-64 -> 2
68-4 -> 64
68-64 -> 4
72-8 -> 64
72-64 -> 8
80-16 -> 64
80-64 -> 16
96-32 -> 64
96-64 -> 32
128-64 -> 64
129-1 -> 128
129-128 -> 1
130-2 -> 128
130-128 -> 2
132-4 -> 128
132-128 -> 4
136-8 -> 128
136-128 -> 8
144-16 -> 128
144-128 -> 16
160-32 -> 128
160-128 -> 32
192-64 -> 128
192-128 -> 64
256-128 -> 128
decimal answers
3-1 -> 2
3-2 -> 1
4-2 -> 2
5-1 -> 4
5-4 -> 1
6-2 -> 4
6-4 -> 2
8-4 -> 4
9-1 -> 8
9-8 -> 1
10-2 -> 8
10-8 -> 2
12-4 -> 8
12-8 -> 4
16-8 -> 8
17-1 -> 16
17-16 -> 1
18-2 -> 16
18-16 -> 2
20-4 -> 16
20-16 -> 4
24-8 -> 16
24-16 -> 8
32-16 -> 16
33-1 -> 32
33-32 -> 1
34-2 -> 32
34-32 -> 2
36-4 -> 32
36-32 -> 4
40-8 -> 32
40-32 -> 8
48-16 -> 32
48-32 -> 16
64-32 -> 32
65-1 -> 64
65-64 -> 1
66-2 -> 64
66-64 -> 2
68-4 -> 64
68-64 -> 4
72-8 -> 64
72-64 -> 8
80-16 -> 64
80-64 -> 16
96-32 -> 64
96-64 -> 32
128-64 -> 64
129-1 -> 128
129-128 -> 1
130-2 -> 128
130-128 -> 2
132-4 -> 128
132-128 -> 4
136-8 -> 128
136-128 -> 8
144-16 -> 128
144-128 -> 16
160-32 -> 128
160-128 -> 32
192-64 -> 128
192-128 -> 64
256-128 -> 128
